Agius et al. 2017. Hawaii Ps receiver functions.
Frequency, 0.05-0.2, Hz
Grid resolution, 1, degree
Minimum number of events, 5
LVL: Depth of negative peak above 410
lat, Lon, Depth peak LVL, Depth peak 410, TZT, Depth peak 660, Amp LVL/Amp 410, Amp LVL, Amp 660
5.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
