Pressure    Depth  Temperature   Density   Basalt       Vs         Vp        Entropy
 (GPa)       (km)     (K)       (g/cm^3)  Fraction    (km/s)     (km/s)     (J/(g.K))
 20.60     589.47    1500.00     3.98611   0.000     5.64036    10.30027     2.18164
 20.70     592.11    1500.00     3.99274   0.000     5.63340    10.31045     2.18062
 20.80     594.74    1500.00     3.99476   0.000     5.63592    10.31685     2.18002
 20.90     597.37    1500.00     3.99677   0.000     5.63841    10.32321     2.17943
 21.00     600.00    1500.00     3.99876   0.000     5.64087    10.32952     2.17885
 21.10     602.50    1500.00     4.00074   0.000     5.64331    10.33579     2.17826
 21.20     605.00    1500.00     4.00271   0.000     5.64571    10.34203     2.17768
 21.30     607.50    1500.00     4.00467   0.000     5.64810    10.34824     2.17710
 21.40     610.00    1500.00     4.00662   0.000     5.65047    10.35443     2.17652
 21.50     612.50    1500.00     4.00857   0.000     5.65282    10.36059     2.17594
 21.60     615.00    1500.00     4.01050   0.000     5.65516    10.36674     2.17537
 21.70     617.50    1500.00     4.01243   0.000     5.65749    10.37288     2.17479
 21.80     620.00    1500.00     4.01436   0.000     5.65982    10.37900     2.17421
 21.90     622.50    1500.00     4.01628   0.000     5.66214    10.38512     2.17363
 22.00     625.00    1500.00     4.01819   0.000     5.66445    10.39124     2.17305
 22.10     627.50    1500.00     4.02011   0.000     5.66677    10.39735     2.17247
 22.20     630.00    1500.00     4.02202   0.000     5.66909    10.40348     2.17189
 22.30     632.50    1500.00     4.02394   0.000     5.67142    10.40961     2.17131
 22.40     635.00    1500.00     4.02585   0.000     5.67376    10.41576     2.17072
 22.50     637.50    1500.00     4.02777   0.000     5.67611    10.42192     2.17014
 22.60     640.00    1500.00     4.02968   0.000     5.67847    10.42811     2.16954
 22.70     642.50    1500.00     4.03161   0.000     5.68086    10.43432     2.16895
 22.80     645.00    1500.00     4.03353   0.000     5.68326    10.44057     2.16835
 22.90     647.50    1500.00     4.03546   0.000     5.68569    10.44686     2.16774
 23.00     650.00    1500.00     4.03740   0.000     5.68815    10.45319     2.16713
 23.10     652.50    1500.00     4.03935   0.000     5.69065    10.45957     2.16652
 23.20     655.00    1500.00     4.04131   0.000     5.69319    10.46601     2.16589
 23.30     657.50    1500.00     4.04328   0.000     5.69577    10.47252     2.16526
 23.40     660.00    1500.00     4.04527   0.000     5.69840    10.47910     2.16462
 23.50     662.50    1500.00     4.04727   0.000     5.70109    10.48577     2.16397
 23.60     665.00    1500.00     4.04929   0.000     5.70384    10.49254     2.16330
 23.70     667.50    1500.00     4.08403   0.000     5.72471    10.54296     2.16018
 23.80     670.00    1500.00     4.09750   0.000     5.72710    10.55651     2.15984
 23.90     672.22    1500.00     4.11548   0.000     5.73009    10.57368     2.15953
 24.00     674.43    1500.00     4.14120   0.000     5.73426    10.59720     2.15928
 24.10     676.65    1500.00     4.35786   0.000     6.06072    10.85913     2.18493
 24.20     678.87    1500.00     4.37677   0.000     6.09787    10.88732     2.18724
 24.30     681.09    1500.00     4.38938   0.000     6.12223    10.90665     2.18854
 24.40     683.30    1500.00     4.39093   0.000     6.12413    10.91112     2.18799
 24.50     685.52    1500.00     4.39248   0.000     6.12604    10.91560     2.18745
 24.60     687.74    1500.00     4.39401   0.000     6.12788    10.92001     2.18691
 24.70     689.96    1500.00     4.39553   0.000     6.12972    10.92442     2.18637
 24.80     692.17    1500.00     4.39706   0.000     6.13156    10.92882     2.18583
 24.90     694.39    1500.00     4.39859   0.000     6.13340    10.93321     2.18529
 25.00     696.61    1500.00     4.40011   0.000     6.13530    10.93765     2.18475
 25.10     698.83    1500.00     4.40163   0.000     6.13713    10.94203     2.18422
 25.20     701.04    1500.00     4.40315   0.000     6.13895    10.94641     2.18368
 25.30     703.26    1500.00     4.40467   0.000     6.14078    10.95077     2.18315
 25.40     705.48    1500.00     4.40619   0.000     6.14260    10.95514     2.18262
 25.50     707.70    1500.00     4.40770   0.000     6.14449    10.95955     2.18208
 25.60     709.91    1500.00     4.40922   0.000     6.14630    10.96390     2.18155
 25.70     712.13    1500.00     4.41073   0.000     6.14811    10.96824     2.18102
 25.80     714.35    1500.00     4.41224   0.000     6.14991    10.97258     2.18049
 25.90     716.57    1500.00     4.41375   0.000     6.15172    10.97691     2.17997
 26.00     718.78    1500.00     4.41525   0.000     6.15359    10.98129     2.17944
 26.10     721.00    1500.00     4.41676   0.000     6.15539    10.98561     2.17891
 26.20     723.27    1500.00     4.41826   0.000     6.15719    10.98993     2.17839
 26.30     725.54    1500.00     4.41977   0.000     6.15898    10.99424     2.17786
 26.40     727.82    1500.00     4.42127   0.000     6.16077    10.99854     2.17734
 26.50     730.09    1500.00     4.42277   0.000     6.16263    11.00289     2.17682
 26.60     732.36    1500.00     4.42427   0.000     6.16441    11.00718     2.17629
 26.70     734.64    1500.00     4.42576   0.000     6.16619    11.01147     2.17578
 26.80     736.91    1500.00     4.42726   0.000     6.16797    11.01575     2.17526
 26.90     739.18    1500.00     4.42875   0.000     6.16974    11.02002     2.17474
 27.00     741.46    1500.00     4.43024   0.000     6.17159    11.02435     2.17422
 27.10     743.73    1500.00     4.43173   0.000     6.17336    11.02861     2.17370
 27.20     746.00    1500.00     4.43322   0.000     6.17512    11.03287     2.17319
 27.30     748.27    1500.00     4.43471   0.000     6.17688    11.03712     2.17267
 27.40     750.55    1500.00     4.43620   0.000     6.17864    11.04136     2.17216
 27.50     752.82    1500.00     4.43768   0.000     6.18048    11.04566     2.17164
 27.60     755.09    1500.00     4.43916   0.000     6.18223    11.04989     2.17113
 27.70     757.36    1500.00     4.44064   0.000     6.18398    11.05412     2.17062
 27.80     759.64    1500.00     4.44212   0.000     6.18573    11.05834     2.17011
 27.90     761.91    1500.00     4.44360   0.000     6.18747    11.06256     2.16960
 28.00     764.18    1500.00     4.44508   0.000     6.18929    11.06683     2.16909
